合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
CF705,11:27:59.500,15105,74134,15100,102,15110,36,202474,1.11646e+009
CF705,11:28:02.500,15105,74134,15100,102,15105,12,202474,1.11646e+009
CF705,11:28:03.0,15105,74134,15100,102,15105,13,202474,1.11646e+009
CF705,11:28:03.500,15105,74162,15100,102,15110,35,202446,1.11688e+009
CF705,11:28:04.0,15105,74162,15100,102,15110,36,202446,1.11688e+009
CF705,11:28:13.0,15105,74162,15105,1,15110,36,202446,1.11688e+009
CF705,11:28:13.500,15105,74164,15100,102,15105,1,202444,1.11691e+009
CF705,11:28:17.500,15105,74170,15100,101,15105,1,202440,1.117e+009
CF705,11:28:24.0,15105,74170,15100,101,15105,2,202440,1.117e+009
CF705,11:28:25.0,15105,74180,15105,1,15110,47,202446,1.11715e+009
CF705,11:28:26.0,15105,74180,15105,2,15110,47,202446,1.11715e+009
CF705,11:28:27.500,15105,74180,15105,3,15110,47,202446,1.11715e+009
CF705,11:28:36.0,15105,74180,15105,4,15110,47,202446,1.11715e+009
CF705,11:28:36.500,15105,74184,15105,2,15110,47,202446,1.11721e+009
CF705,11:28:39.0,15105,74190,15105,1,15110,44,202442,1.1173e+009
CF705,11:28:40.0,15105,74192,15100,101,15110,44,202440,1.11733e+009
CF705,11:28:41.0,15105,74192,15100,100,15110,44,202440,1.11733e+009
CF705,11:28:44.500,15100,74196,15100,98,15110,44,202440,1.11739e+009
CF705,11:28:45.0,15100,74224,15100,84,15110,44,202438,1.11781e+009
CF705,11:28:45.500,15110,74228,15100,83,15110,48,202438,1.11787e+009
CF705,11:28:47.500,15110,74228,15100,83,15105,1,202438,1.11787e+009
CF705,11:28:48.500,15100,74232,15100,83,15110,48,202438,1.11793e+009
CF705,11:28:51.500,15100,74232,15100,83,15105,2,202438,1.11793e+009
CF705,11:28:58.0,15105,74234,15100,83,15105,1,202436,1.11796e+009
CF705,11:29:00.0,15105,74236,15100,83,15110,47,202434,1.11799e+009
CF705,11:29:00.500,15110,74238,15100,83,15110,46,202432,1.11802e+009
CF705,11:29:01.0,15110,74238,15105,6,15110,46,202432,1.11802e+009
CF705,11:29:01.500,15110,74238,15105,12,15110,46,202432,1.11802e+009
CF705,11:29:02.0,15110,74264,15105,12,15110,46,202406,1.11842e+009
CF705,11:29:04.500,15110,74264,15105,12,15110,45,202406,1.11842e+009
CF705,11:29:05.0,15105,74288,15100,83,15105,48,202382,1.11878e+009
CF705,11:29:06.0,15105,74290,15100,82,15105,47,202380,1.11881e+009
CF705,11:29:07.500,15100,74296,15100,79,15105,49,202386,1.1189e+009
CF705,11:29:08.0,15100,74306,15100,74,15105,46,202382,1.11905e+009
CF705,11:29:09.500,15100,74406,15100,44,15105,46,202364,1.12055e+009
CF705,11:29:10.0,15095,74512,15095,26,15100,4,202400,1.12215e+009
CF705,11:29:10.500,15095,74522,15095,23,15100,21,202400,1.1223e+009
CF705,11:29:11.0,15095,74532,15095,18,15100,21,202410,1.12245e+009
CF705,11:29:14.0,15095,74542,15095,13,15100,22,202410,1.1226e+009
CF705,11:29:14.500,15095,74546,15095,11,15100,28,202410,1.12266e+009
CF705,11:29:15.500,15095,74546,15095,11,15100,29,202410,1.12266e+009
CF705,11:29:17.500,15095,74588,15095,10,15100,9,202380,1.1233e+009
CF705,11:29:18.0,15095,74594,15095,8,15100,10,202380,1.12339e+009
CF705,11:29:18.500,15095,74598,15095,6,15100,11,202384,1.12345e+009
CF705,11:29:19.0,15100,74608,15095,6,15100,6,202374,1.1236e+009
CF705,11:29:19.500,15100,74608,15095,7,15100,21,202374,1.1236e+009
CF705,11:29:21.0,15095,74610,15095,6,15100,21,202374,1.12363e+009
CF705,11:29:21.500,15095,74612,15095,55,15100,21,202376,1.12366e+009
CF705,11:29:23.0,15095,74612,15095,85,15100,21,202376,1.12366e+009
CF705,11:29:23.500,15095,74612,15095,85,15100,22,202376,1.12366e+009
