合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
TF1706,11:27:59.0,99.345,5411,99.34,11,99.35,30,16947,5.37671e+009
TF1706,11:28:01.500,99.345,5411,99.345,10,99.35,30,16947,5.37671e+009
TF1706,11:28:04.500,99.345,5411,99.345,10,99.35,30,16947,5.37671e+009
TF1706,11:28:05.500,99.345,5414,99.345,7,99.35,30,16944,5.37969e+009
TF1706,11:28:06.0,99.345,5418,99.345,3,99.35,30,16940,5.38366e+009
TF1706,11:28:06.500,99.345,5421,99.34,11,99.35,30,16940,5.38665e+009
TF1706,11:28:08.0,99.345,5421,99.345,1,99.35,30,16940,5.38665e+009
TF1706,11:28:10.500,99.35,5422,99.345,1,99.35,29,16941,5.38764e+009
TF1706,11:28:11.0,99.35,5422,99.345,2,99.35,29,16941,5.38764e+009
TF1706,11:28:12.500,99.35,5422,99.345,2,99.35,29,16941,5.38764e+009
TF1706,11:28:13.0,99.35,5422,99.345,2,99.35,29,16941,5.38764e+009
TF1706,11:28:14.0,99.35,5423,99.345,2,99.35,28,16942,5.38863e+009
TF1706,11:28:29.0,99.35,5423,99.345,2,99.35,28,16942,5.38863e+009
TF1706,11:28:30.500,99.345,5425,99.34,12,99.35,28,16943,5.39062e+009
TF1706,11:28:37.500,99.345,5425,99.345,10,99.35,28,16943,5.39062e+009
TF1706,11:28:38.0,99.345,5425,99.345,12,99.35,28,16943,5.39062e+009
TF1706,11:28:39.0,99.345,5425,99.345,10,99.35,28,16943,5.39062e+009
TF1706,11:28:41.500,99.35,5428,99.345,10,99.35,25,16943,5.3936e+009
TF1706,11:28:43.0,99.345,5430,99.345,8,99.35,25,16941,5.39559e+009
TF1706,11:28:45.500,99.345,5438,99.34,12,99.345,2,16933,5.40353e+009
TF1706,11:28:46.0,99.345,5440,99.34,12,99.345,1,16931,5.40552e+009
TF1706,11:28:47.0,99.345,5441,99.34,12,99.35,25,16931,5.40651e+009
TF1706,11:28:48.0,99.345,5441,99.34,12,99.35,25,16931,5.40651e+009
TF1706,11:28:50.500,99.345,5441,99.345,1,99.35,25,16931,5.40651e+009
TF1706,11:28:51.0,99.345,5441,99.34,12,99.35,25,16931,5.40651e+009
TF1706,11:28:52.500,99.345,5441,99.345,1,99.35,25,16931,5.40651e+009
TF1706,11:28:53.500,99.345,5441,99.345,3,99.35,25,16931,5.40651e+009
TF1706,11:28:54.500,99.345,5441,99.345,2,99.35,25,16931,5.40651e+009
TF1706,11:28:57.0,99.345,5441,99.345,3,99.35,25,16931,5.40651e+009
TF1706,11:28:58.0,99.345,5441,99.345,2,99.35,25,16931,5.40651e+009
TF1706,11:29:01.500,99.35,5443,99.345,3,99.35,23,16931,5.4085e+009
TF1706,11:29:04.500,99.35,5444,99.345,3,99.35,22,16931,5.40949e+009
TF1706,11:29:16.0,99.35,5444,99.345,2,99.35,22,16931,5.40949e+009
TF1706,11:29:16.500,99.345,5447,99.34,13,99.345,1,16929,5.41248e+009
TF1706,11:29:17.0,99.345,5449,99.34,13,99.35,22,16929,5.41446e+009
TF1706,11:29:17.500,99.345,5449,99.34,11,99.345,3,16929,5.41446e+009
TF1706,11:29:18.0,99.345,5449,99.34,11,99.345,3,16929,5.41446e+009
TF1706,11:29:19.0,99.345,5449,99.34,11,99.345,4,16929,5.41446e+009
TF1706,11:29:19.500,99.345,5455,99.34,7,99.345,2,16932,5.42042e+009
TF1706,11:29:21.0,99.345,5455,99.34,7,99.345,2,16932,5.42042e+009
TF1706,11:29:24.0,99.345,5455,99.34,7,99.345,2,16932,5.42042e+009
TF1706,11:29:24.500,99.345,5455,99.34,8,99.345,2,16932,5.42042e+009
TF1706,11:29:25.0,99.345,5455,99.34,8,99.345,3,16932,5.42042e+009
TF1706,11:29:26.500,99.345,5455,99.34,9,99.345,2,16932,5.42042e+009
TF1706,11:29:27.0,99.345,5456,99.34,9,99.345,1,16931,5.42142e+009
TF1706,11:29:27.500,99.345,5457,99.345,2,99.35,22,16931,5.42241e+009
TF1706,11:29:30.500,99.345,5459,99.34,9,99.345,10,16930,5.4244e+009
TF1706,11:29:31.0,99.345,5459,99.34,9,99.345,1,16930,5.4244e+009
TF1706,11:29:31.500,99.345,5459,99.34,9,99.35,22,16930,5.4244e+009
TF1706,11:29:32.500,99.345,5459,99.345,1,99.35,22,16930,5.4244e+009
TF1706,11:29:33.0,99.345,5460,99.34,9,99.35,22,16929,5.42539e+009
TF1706,11:29:34.500,99.345,5460,99.34,9,99.35,22,16929,5.42539e+009
TF1706,11:29:39.0,99.345,5460,99.34,9,99.35,22,16929,5.42539e+009
TF1706,11:29:42.500,99.35,5465,99.34,13,99.35,17,16929,5.43036e+009
TF1706,11:29:43.500,99.35,5465,99.34,9,99.35,17,16929,5.43036e+009
TF1706,11:29:44.0,99.35,5469,99.34,12,99.35,13,16933,5.43433e+009
TF1706,11:29:44.500,99.35,5469,99.345,3,99.35,13,16933,5.43433e+009
TF1706,11:29:45.0,99.35,5469,99.345,4,99.35,13,16933,5.43433e+009
TF1706,11:29:45.500,99.35,5469,99.345,4,99.35,13,16933,5.43433e+009
