合约代码,更新时间,最新价,成交量,买价一,买量一,买价一,卖价一,卖量一,换手率
TF1706,10:40:48.500,99.31,3580,99.295,4,99.31,38,15823,3.55497e+009
TF1706,10:40:49.0,99.31,3585,99.3,3,99.31,33,15823,3.55993e+009
TF1706,10:40:49.500,99.3,3586,99.295,3,99.31,33,15822,3.56093e+009
TF1706,10:40:50.0,99.3,3587,99.295,3,99.305,1,15823,3.56192e+009
TF1706,10:40:50.500,99.305,3588,99.295,4,99.305,1,15823,3.56291e+009
TF1706,10:40:51.0,99.305,3589,99.3,1,99.31,33,15822,3.56391e+009
TF1706,10:40:54.500,99.305,3589,99.3,2,99.31,33,15822,3.56391e+009
TF1706,10:40:55.0,99.305,3589,99.3,2,99.31,33,15822,3.56391e+009
TF1706,10:40:57.500,99.305,3589,99.3,2,99.31,33,15822,3.56391e+009
TF1706,10:41:01.500,99.305,3589,99.3,3,99.31,33,15822,3.56391e+009
TF1706,10:41:02.0,99.305,3589,99.3,3,99.31,33,15822,3.56391e+009
TF1706,10:41:05.500,99.305,3589,99.3,3,99.31,33,15822,3.56391e+009
TF1706,10:41:07.500,99.305,3589,99.3,11,99.31,33,15822,3.56391e+009
TF1706,10:41:11.0,99.31,3594,99.305,1,99.31,28,15822,3.56887e+009
TF1706,10:41:11.500,99.305,3595,99.3,3,99.305,1,15822,3.56986e+009
TF1706,10:41:12.0,99.305,3595,99.305,1,99.31,28,15822,3.56986e+009
TF1706,10:41:12.500,99.305,3596,99.3,3,99.31,28,15822,3.57086e+009
TF1706,10:41:17.500,99.3,3599,99.295,4,99.3,22,15821,3.57384e+009
TF1706,10:41:18.0,99.3,3604,99.295,4,99.3,17,15817,3.5788e+009
TF1706,10:41:18.500,99.3,3604,99.295,3,99.3,17,15817,3.5788e+009
TF1706,10:41:21.500,99.3,3607,99.295,3,99.3,14,15814,3.58178e+009
TF1706,10:41:28.0,99.3,3607,99.295,13,99.3,14,15814,3.58178e+009
TF1706,10:41:31.0,99.3,3607,99.295,13,99.3,14,15814,3.58178e+009
TF1706,10:41:32.500,99.3,3607,99.295,13,99.3,14,15814,3.58178e+009
TF1706,10:41:34.500,99.3,3607,99.295,13,99.3,14,15814,3.58178e+009
TF1706,10:41:36.0,99.3,3607,99.295,13,99.3,14,15814,3.58178e+009
TF1706,10:41:39.500,99.3,3607,99.295,13,99.3,14,15814,3.58178e+009
TF1706,10:41:42.500,99.295,3614,99.295,6,99.3,14,15821,3.58873e+009
TF1706,10:41:43.0,99.295,3620,99.29,10,99.295,12,15822,3.59469e+009
